-0.75   0.82   1.06   2.50   0.86   1.00   1.58   3.85   4.80   0.00   0.05   -0.10
-1.00   0.82   1.00   3.00   1.00   0.80   1.46   4.25   5.00   -0.35   0.70   1.50
-1.00   1.01   0.75   2.50   0.91   0.85   1.57   3.70   4.70   0.11   -0.30   -0.70
-0.25   1.06   0.78   2.00   0.79   1.03   2.29   3.10   2.79   -0.81   0.05   0.66
1.50   0.96   0.80   2.50   0.78   0.98   10.00   5.00   1.22   1.10   -0.50   0.01
0.00   0.99   0.77   2.50   0.91   0.85   2.59   3.35   2.30   0.14   0.00   -0.12
-0.25   1.05   0.83   2.50   1.01   0.85   2.26   3.40   2.76   0.24   0.05   -0.49
-1.00   1.05   0.81   2.50   0.88   0.96   1.54   3.85   4.75   0.05   -0.15   -0.25
0.25   0.96   0.90   2.50   0.94   0.90   2.87   3.30   2.14   -0.02   0.10   -0.02
-0.25   1.01   0.85   2.50   0.90   0.94   2.19   3.30   2.78   0.14   -0.05   -0.22
-0.25   1.05   0.71   2.00   0.97   0.79   2.92   2.47   2.69   0.15   0.14   -0.36
-1.00   0.99   0.77   3.00   0.85   0.91   1.56   4.10   4.25   0.11   -0.40   -0.55
0.75   0.78   0.98   3.00   0.91   0.85   3.50   3.80   1.76   0.20   0.10   -0.07
0.50   0.91   0.85   2.00   0.91   0.85   3.95   3.05   1.85   0.60   0.09   -0.21
0.00   1.00   0.82   2.50   1.02   0.78   2.37   3.25   2.55   0.11   0.00   -0.17
-0.25   1.01   0.75   2.00   1.00   0.76   2.30   2.94   2.90   -0.27   0.23   0.13
-0.75   0.80   1.06   2.50   0.90   0.94   1.56   3.80   4.65   -0.19   0.40   0.70
-1.00   1.04   0.78   2.50   0.88   0.92   1.55   3.80   4.75   -0.23   0.35   1.05
0.00   0.83   1.05   2.50   0.96   0.90   2.38   3.50   2.68   -0.60   0.40   0.32
0.00   0.82   1.00   2.50   1.00   0.80   2.34   3.30   2.57   -0.02   -0.05   -0.09
-0.25   0.80   0.96   3.00   0.85   0.91   2.02   3.70   2.83   0.39   -0.30   -1.07
-0.50   0.77   0.99   2.50   0.93   0.83   1.77   3.45   3.75   -0.55   0.20   1.13
-1.25   0.85   0.91   3.00   0.85   0.91   1.37   4.55   5.80   0.06   -0.20   -0.90
-2.25   0.85   0.91   3.50   0.81   0.95   1.11   7.20   12.00   0.02   -0.50   -1.50
-1.25   0.90   0.80   3.50   0.76   0.94   1.41   4.50   4.55   -0.62   0.55   1.87
-0.25   0.85   0.91   2.50   0.99   0.77   2.08   3.30   2.97   -0.17   0.05   0.27
-0.50   0.80   0.96   2.50   0.80   0.96   1.80   3.55   3.55   0.21   -0.15   -1.00
0.00   1.06   0.82   3.00   1.01   0.85   2.53   3.65   2.33   0.06   -0.05   -0.14
0.00   0.85   0.91   2.50   0.91   0.85   2.40   3.35   2.48   -0.44   0.05   0.32
0.00   1.05   0.83   2.50   1.11   0.76   2.73   3.30   2.43   0.07   0.10   0.12
-0.50   0.85   1.03   3.00   0.85   1.01   1.85   3.85   3.35   -0.05   -0.10   0.00
-0.50   0.85   0.91   3.50   0.85   0.91   1.85   4.00   3.05   0.04   -0.05   -0.10
0.00   1.07   0.83   2.50   1.03   0.85   2.81   3.45   2.47   -0.02   0.15   0.12
0.00   0.76   1.13   2.00   0.86   1.00   2.53   3.05   3.05   -0.23   0.14   0.37
-0.75   0.77   0.99   3.00   0.80   0.96   1.58   4.10   4.10   -0.15   0.25   0.55
-1.25   0.86   0.96   3.00   1.00   0.80   1.35   4.55   6.20   -0.05   0.10   0.70
-1.00   0.86   1.00   2.50   1.04   0.80   1.44   3.90   5.80   0.05   -0.20   -0.50
-0.25   0.90   0.98   3.00   1.01   0.85   2.14   3.85   3.10   0.38   -0.15   -0.75
0.75   0.80   1.04   2.50   1.02   0.80   3.75   3.35   1.80   0.55   0.20   -0.34
-0.25   0.83   1.05   2.50   1.06   0.80   2.08   3.35   3.10   -0.13   0.25   0.00
0.25   1.00   0.88   2.50   1.03   0.83   3.05   3.35   2.13   0.20   0.10   -0.12
2.00   0.97   0.85   3.50   0.89   0.91   10.50   6.70   1.17   -1.00   0.20   0.03
-0.50   1.05   0.83   3.00   0.92   0.94   2.02   3.70   2.95   -0.32   -0.15   0.51
-0.25   0.78   0.98   3.50   0.88   0.88   1.97   3.95   2.78   0.26   0.10   -0.87
0.00   0.96   0.86   2.50   1.02   0.78   2.52   3.25   2.40   -0.02   -0.10   0.06
-0.50   0.86   0.96   3.50   1.00   0.80   1.86   3.90   3.10   0.00   0.05   0.00
0.00   0.96   0.80   3.00   0.96   0.80   2.48   3.60   2.27   -0.02   -0.05   0.02
-0.25   0.81   1.01   3.00   0.85   0.95   2.02   3.65   2.85   -0.14   0.05   0.08
-0.75   0.85   1.03   2.50   1.03   0.83   1.65   3.80   5.50   0.09   0.05   -0.30
